nodeType,propSet,count
SynapseSet:medulla7column_SynapseSet,,349032
Synapse:medulla7column_Synapse,confidence:location:proximal:type,214536
Synapse:medulla7column_Synapse,confidence:distal:location:type,151770
Neuron:Segment:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size,44376
Neuron:Segment:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size,28423
Neuron:Segment:medulla7column_Segment,bodyId:cropped:post:pre:proximal:roiInfo:size:status:statusLabel,5495
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:post:pre:roiInfo:size:status:statusLabel,4732
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel,992
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:roiInfo:size:status:statusLabel,517
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,400
Neuron:Segment:medulla7column_Segment,bodyId:distal:post:pre:proximal:roiInfo:size,322
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:roiInfo:size:status:statusLabel:type,252
Neuron:Segment:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel,252
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel,244
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,213
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size:status:statusLabel,200
Neuron:Segment:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size:status:statusLabel,180
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:roiInfo:size:status:statusLabel,179
Neuron:Segment:medulla7column_Segment,bodyId:post:pre:proximal:roiInfo:size:status:statusLabel,135
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:distal:post:pre:roiInfo:size:status:statusLabel,88
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:post:pre:proximal:roiInfo:size:status:statusLabel,45
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:post:pre:proximal:roiInfo:size:status:statusLabel,23
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:roiInfo:size:status:statusLabel:type,15
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:post:pre:roiInfo:size:status:statusLabel,11
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,11
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:distal:post:pre:proximal:roiInfo:size:status:statusLabel,9
Neuron:Segment:medulla7column_Segment,bodyId:cropped:distal:instance:post:pre:proximal:roiInfo:size:status:statusLabel,7
Neuron:Segment:medulla7column_Segment,bodyId:cropped:instance:post:pre:proximal:roiInfo:size:status:statusLabel:type,6
Neuron:Segment:medulla7column_Segment,bodyId:distal:post:pre:proximal:roiInfo:size:status:statusLabel,5
Neuron:Segment:medulla7column_Neuron:medulla7column_Segment,bodyId:cropped:distal:post:pre:proximal:roiInfo:size:status:statusLabel,2
Meta:medulla7column_Meta,dataset:lastDatabaseEdit:latestMutationId:logo:meshHost:neuroglancerInfo:neuroglancerMeta:postHPThreshold:postHighAccuracyThreshold:preHPThreshold:primaryRois:roiHierarchy:roiInfo:statusDefinitions:superLevelRois:totalPostCount:totalPreCount:uuid,1
